Test ID,Function,Input,Expected Behavior
TC-M001,pyplot.plot,"x=[0, 1], y=[2, 3]",plot rendered correctly
TC-M002,pyplot.plot,"x=[0, 1], y=[0, 2]",plot rendered correctly
TC-M003,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6], y=[3, 8, 1, 10, 4, 2, 5], yerr=[0.39, 0.54, 0.45, 0.95, 0.43, 0.97, 0.19]",errorbar rendered correctly
TC-M004,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[8, 2, 0, 10, 6, 4, 2, 0, 2, 10], yerr=[0.82, 0.22, 0.74, 0.38, 0.64, 0.49, 0.64, 0.9, 0.64, 0.28]",errorbar rendered correctly
TC-M005,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[1, 9, 1, 6, 2, 7, 4, 4, 0, 9], color='#FF00FF'",scatter rendered correctly
TC-M006,pyplot.errorbar,"x=[0, 1, 2, 3, 4], y=[1, 2, 5, 10, 5], yerr=[0.99, 0.67, 0.57, 0.68, 0.96]",errorbar rendered correctly
TC-M007,pyplot.hist,"data=[7, 1, 1, 6, 0, 8, 3, 2, 2, 7, 10, 9, 8, 6, 3]",hist rendered correctly
TC-M008,pyplot.hist,"data=[9, 8, 2, 9, 8, 2, 1, 0, 4, 0, 8, 3, 10, 2, 3, 9, 7, 10, 4, 1, 2, 6, 4, 4, 8, 8, 3, 0, 5]",hist rendered correctly
TC-M009,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[2, 1, 5, 4, 3, 1, 8, 10, 7], color='green'",scatter rendered correctly
TC-M010,pyplot.imshow,array=11x11 random floats,imshow rendered correctly
TC-M011,pyplot.imshow,array=9x9 random floats,imshow rendered correctly
TC-M012,pyplot.hist,"data=[6, 10, 7, 9, 2, 6, 7, 2, 5, 9, 8, 0, 10, 8, 10, 7, 0, 5, 9, 0, 5, 10, 7, 1, 8, 7, 0, 0, 1, 4, 5, 10, 4, 0, 2]",hist rendered correctly
TC-M013,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y1=[8, 10, 10, 9, 10, 3, 3, 0, 0], y2=[15, 7, 12, 14, 5, 9, 9, 13, 7]",fill_between rendered correctly
TC-M014,pyplot.pie,"sizes=[13, 87, 78, 19]",pie rendered correctly
TC-M015,pyplot.errorbar,"x=[0, 1], y=[4, 7], yerr=[0.95, 0.19]",errorbar rendered correctly
TC-M016,pyplot.boxplot,"data=[[1, 14, 18, 5, 16, 12, 16, 14, 5], [20, 2, 17, 2, 16, 15, 9], [18, 14, 4, 4, 6, 12, 4, 15, 3, 4], [9, 13, 7, 3, 4, 18]]",boxplot rendered correctly
TC-M017,pyplot.errorbar,"x=[0, 1], y=[0, 10], yerr=[0.83, 0.92]",errorbar rendered correctly
TC-M018,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[4, 5, 8, 6, 8, 0, 7, 1, 2], color='cyan'",scatter rendered correctly
TC-M019,pyplot.hist,"data=[8, 2, 10, 2, 1, 0, 5, 3, 10, 4, 3, 4, 0, 4, 8, 4, 3, 0, 7, 7, 2, 7, 3, 7, 0, 10, 8, 1, 5, 9, 1, 3, 6, 8, 9, 2, 10, 7, 9]",hist rendered correctly
TC-M020,pyplot.boxplot,"data=[[17, 20, 6, 17, 7, 8, 1, 12, 1], [9, 14, 10, 5, 9, 9], [6, 15, 2, 5, 1, 7], [10, 14, 16, 20, 7, 7, 2, 11, 15, 20], [20, 18, 14, 11, 2]]",boxplot rendered correctly
TC-M021,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[17, 2, 14, 7]",bar rendered correctly
TC-M022,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[14, 8, 15, 19]",bar rendered correctly
TC-M023,pyplot.scatter,"x=[0, 1, 2, 3, 4], y=[7, 2, 2, 4, 5], color='cyan'",scatter rendered correctly
TC-M024,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[3, 0, 2, 10, 9, 0, 7, 4, 2, 9], color='#FF00FF'",scatter rendered correctly
TC-M025,pyplot.imshow,array=5x5 random floats,imshow rendered correctly
